ts,symbol,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type
2025-09-25 17:25:00.044,AAPL,1325,7,1320,160,1325,22,1
2025-09-25 17:25:02.207,AAPL,1325,1,1320,160,1325,22,1
2025-09-25 17:25:03.125,AAPL,1325,1,1320,161,1325,21,1
2025-09-25 17:25:47.863,AAPL,1325,1,1320,162,1325,21,1
2025-09-25 17:26:14.894,TSLA,1325,1,1320,181,1325,18,1
2025-09-25 17:26:51.365,TSLA,1325,1,1320,181,1325,27,1
2025-09-25 17:29:59.655,TSLA,1325,3,1320,177,1325,31,1
2025-09-25 17:30:06.262,NVDA,1325,1,1320,180,1325,28,1
2025-09-25 17:30:14.542,NVDA,1325,3,1320,183,1325,27,1
2025-09-25 17:30:52.600,NVDA,1320,2,1320,185,1325,22,2
